ID,Text
1,"Someone in Haven has found out about the supernatural and is freaking out about it. They're at risk of exposing the secret, hurting themselves, or hurting others. Your target and their allies are tasked with containing the situation."
2,"An amateur paranormal investigator has stumbled onto the truth of the supernatural world and has evidence. Your target and their allies are tasked with containing the situation."
3,"Your target is propositioned by a sex worker of some description who uses supernatural abilities to snare them, charming them, hypnotising them or manipulating their emotions. However their plan is in fact just to lure the target into a vulnerable location before robbing them of money, or valuables, or blood or something else of value."
4,"A ghost with only fragments of memory that have driven them near insane is attacking your target. They must either defeat it or find a way to calm it down."
5,"Your target is possessed by an angry spirit that is forcing them to act out and putting themselves and/or others at risk. They must either defeat it or find a way to calm it down."
6,"Your target has been abducted and is being held hostage by a supernatural criminal out to trade them for something or just use them as a shield against the factions. Your target must attempt to find a way to escape, or simply survive until they can be rescued by their allies."
7,"A demon from hell has become interested in your target, they decide to see if they can tempt them into becoming one of their instruments on earth."
8,"Your target and their allies are charged with tracking down a supernatural criminal on the run from the factions, what they do with them then is up to the players to decide."
9,"Your target has been cursed with madness in a public local, it is up to them to manage the affliction as best they can before their allies can arrive to handle the situation, subduing or calming them back down or working some sort of counter magic and at least removing them from the public eye."
10,"Your target has been cursed with persecution, it is up to them to survive a world suddenly turned hostile until their allies can come and help get them to safety or deal with the curse."
11,"Your target has been mind controlled by another into acting as their agent in a crime, compelled to perform a robbery or assault for this other agent. It is up to their allies to arrive and stop the crime and try to uncover the criminal."
12,"Your target has been flagged down by someone who wants their help getting their cat down from a tree."
13,"Your target is attacked by an animal or small group of animals driven mad with magic, it is up to them to escape or fight them off for long enough for their allies to arrive and help deal with the threat."
14,"Your target's been contacted to help find a civilian who's become lost in the woods."
15,"Your target has been picked up by members of an opposing faction or subfaction keen to get some intelligence from them. While the villains must abide by the understanding they will work their hardest to get the information, your target must resist for long enough or throw them off the trail for their allies to arrive and help get them out."
16,"Members of an opposing faction or subfaction are after your target. They must escape them or fight them off for long enough for their allies to arrive and help keep them protected."
17,"Your target has been abducted by the syndicate for potential sale offworld, they must escape or stall their abductors long enough for their allies to be able to come rescue them before the transaction can take place."
18,"Your target has been selected as the next meal for a vampire."
19,"A shifted werewolf attacks your target during the full moon. They need to escape or fight them off for long enough for their allies to come and help save them."
20,"Your target is attacked by a non shifted werewolf on the full moon, barely in control of their lunacy who's snapped. They need to escape or fight them off long enough for their allies to come and help save them."
21,"Your target encounters a newly made werewolf who doesn't know what they are or what they've done shortly after the full moon."
22,"Your target and their allies encounter a newly made vampire who hasn't been taught by their maker and doesn't know what they are."
23,"Your target and their allies encounter a newly activated supernatural who doesn't understand what's happened to them or what's next."
24,"Your target has been singled out by a dream stalker who's invading their dreams. They cannot be woken, but their allies may be able to go into their dreams after them to help them fight off the invader and survive the nightmare."
25,"Your target encounters a human who's become stuck in the nightmare, lost and frightened."
26,"Your target encounters a ghost who's fixated on some past tragedy from their life, they need to either give the spirit some sense of closure, or send it on it's way through more violent means."
27,"Someone has sent the state police after your target. Perhaps they're a real criminal or perhaps they've been framed, in either case it's up to them to get their arrest warrant handled and removed."
